index,text,true_label,predicted_label,category
206653,I gotta get back outside  man do I need an mp3 player for the barn stereo. I think the horses need to jam out. Later tweeps.,negative,positive,informal
184882,jus got done watchin the movie ! it was pretty damn good  some sad moments but watch it,positive,negative,contrast
178184,Hello everyone how u all doing ? Just a qucik tweet got company coming sadly not Bspears doll!  !!! X x,negative,positive,elongation
208958,I have blocked the same vile name 7 times in last 10 minutes lol!! They just keep rearranging letters! I can play as long as they want!! ,positive,negative,informal
71404,http://tinyurl.com/nz38cq marty the cowboy dooooog haha im bored  minding bams dog til she gets back,negative,positive,elongation
228293,@technotetris no were going to the beach ,positive,negative,negation
228276,@adamarmsup  &lt;3 you Adam.,negative,positive,informal
142499,"i am watching platinum weddings. im soo jelous wish i was rich , with a cute boyfriend , or he could be the rich one ",positive,negative,other
14957,@JaeArr  *waves*,negative,positive,other
233793,"Donï¿½t want to wake up when I have those amazing dreams! Want to dream again, just jump right in to where I was and continue.. ",negative,positive,other
238364,@Csdrummer I give score updates you know......  ,negative,positive,elongation
112760,@XxbbydevlxX not a winkk ,positive,negative,negation
114080,"@lea274 @Jessica_Sanner All good! Just got home from a boring day at work  But hey I have the night to myself now, yay! X",negative,positive,contrast
59236,head hurt. feet hurt. back hurt. heart exploding with love. bed now. ,positive,negative,other
227964,@jtimberman Yeah - I have to figure in the WAF too. Plus she controls the budget. ,positive,negative,other
124472,"Always nice when parents cook an amazing dinner... just for them  Whatever, I have too much schoolwork to do to eat anyway *sigh*",negative,positive,elongation
154404,@amandasuanne I totally would lend you one of mine if you were closer ,negative,positive,sarcasm
60239,Someone needs to give @shelby_says gas money ,positive,negative,other
76402,Don't play games with people who have been playing them for like the past 6 years  MeaNmean.Mean,positive,negative,other
189454,Weg stress ,positive,negative,other
134457,@analovesme I am in fat denial too.. what do you do? ,negative,positive,informal
226841,now im bored. i need a twitterbreak. be back later. ,positive,negative,other
97319,@xzenax ive not got them yet but i want thm for manchester apollo ,positive,negative,mixed
229185,"Can't decie whether it wants to hail or snow. So, it hails and snows. ",positive,negative,intensification
94225,@karleemay I didn't pick up on that.  Weird.  The in reply to is one of my most used options to follow a Twitter convo ,negative,positive,other
168895,@erin82883 NO  #petewentzday #petewentzday #petewentzday #petewentzday #petewentzday,negative,positive,hashtag
60372,Black people let's do BETTER..it's never that serious..a bottle to the head?come on man..shit was like a movie ,negative,positive,negation
182829,"after a very sunny weekend i bought sandbox for my little baby to play on the balcony... well,... its raining ",negative,positive,elongation
71251,raining sooo hard right now ,positive,negative,elongation
9994,"Had a morning walk in the park, found a cache.  I have so much work to do this weekend...dear god.",positive,negative,elongation
